match_id,season,date,home_team,away_team,market,line,odds,implied_probability,model_probability,ev,confidence,kelly_fraction_full,kelly_fraction_half,kelly_fraction_quarter,decision,stake,bankroll,cumulative_profit,roi,yield,max_drawdown
761,2025/26,2025-08-23,Genoa,Lecce,TOTAL_CORNERS_OVER,8.5,2.5,0.4,0.6315681286378818,0.5789203215947045,69.77531026479453,0.38594688106313635,0.19297344053156817,0.09648672026578409,BET,38.59468810631363,157.89203215947043,57.89203215947043,0.5789203215947043,1.4999999999999996,0.0
762,2025/26,2025-08-23,Milan,Cremonese,,,,,,,61.177964231355666,0.0,0.0,0.0,NO BET,0.0,157.89203215947043,57.89203215947043,0.5789203215947043,1.4999999999999996,0.0
763,2025/26,2025-08-23,Roma,Bologna,,,,,,,60.4506846201614,0.0,0.0,0.0,NO BET,0.0,157.89203215947043,57.89203215947043,0.5789203215947043,1.4999999999999996,0.0
764,2025/26,2025-08-23,Sassuolo,Napoli,,,,,,,65.6335726076239,0.0,0.0,0.0,NO BET,0.0,157.89203215947043,57.89203215947043,0.5789203215947043,1.4999999999999996,0.0
765,2025/26,2025-08-24,Atalanta,Pisa,,,,,,,53.37858195116324,0.0,0.0,0.0,NO BET,0.0,157.89203215947043,57.89203215947043,0.5789203215947043,1.4999999999999996,0.0
766,2025/26,2025-08-24,Cagliari,Fiorentina,,,,,,,55.0026493179243,0.0,0.0,0.0,NO BET,0.0,157.89203215947043,57.89203215947043,0.5789203215947043,1.4999999999999996,0.0
767,2025/26,2025-08-24,Como,Lazio,,,,,,,61.37959713854669,0.0,0.0,0.0,NO BET,0.0,157.89203215947043,57.89203215947043,0.5789203215947043,1.4999999999999996,0.0
768,2025/26,2025-08-24,Juventus,Parma,,,,,,,64.92069478077761,0.0,0.0,0.0,NO BET,0.0,157.89203215947043,57.89203215947043,0.5789203215947043,1.4999999999999996,0.0
769,2025/26,2025-08-25,Inter,Torino,,,,,,,65.95554284731406,0.0,0.0,0.0,NO BET,0.0,157.89203215947043,57.89203215947043,0.5789203215947043,1.4999999999999996,0.0
770,2025/26,2025-08-25,Udinese,Verona,,,,,,,53.70319722914852,0.0,0.0,0.0,NO BET,0.0,157.89203215947043,57.89203215947043,0.5789203215947043,1.4999999999999996,0.0
771,2025/26,2025-08-29,Cremonese,Sassuolo,,,,,,,47.60458157771549,0.0,0.0,0.0,NO BET,0.0,157.89203215947043,57.89203215947043,0.5789203215947043,1.4999999999999996,0.0
772,2025/26,2025-08-29,Lecce,Milan,,,,,,,65.7514870527553,0.0,0.0,0.0,NO BET,0.0,157.89203215947043,57.89203215947043,0.5789203215947043,1.4999999999999996,0.0
773,2025/26,2025-08-30,Bologna,Como,,,,,,,65.94428599235258,0.0,0.0,0.0,NO BET,0.0,157.89203215947043,57.89203215947043,0.5789203215947043,1.4999999999999996,0.0
