rank,confidence_threshold,ev_threshold,kelly_fraction,bets,watches,no_bets,win_rate,roi,yield,average_ev,average_confidence,profit,max_drawdown,average_stake,final_bankroll
1,60,0.01,Full,1,0,0,1.0,0.5789203215947043,1.4999999999999996,0.5789203215947045,69.77531026479453,57.89203215947043,0.0,38.59468810631363,157.89203215947043
2,60,0.02,Full,1,0,0,1.0,0.5789203215947043,1.4999999999999996,0.5789203215947045,69.77531026479453,57.89203215947043,0.0,38.59468810631363,157.89203215947043
3,60,0.03,Full,1,0,0,1.0,0.5789203215947043,1.4999999999999996,0.5789203215947045,69.77531026479453,57.89203215947043,0.0,38.59468810631363,157.89203215947043
4,60,0.05,Full,1,0,0,1.0,0.5789203215947043,1.4999999999999996,0.5789203215947045,69.77531026479453,57.89203215947043,0.0,38.59468810631363,157.89203215947043
5,60,0.07,Full,1,0,0,1.0,0.5789203215947043,1.4999999999999996,0.5789203215947045,69.77531026479453,57.89203215947043,0.0,38.59468810631363,157.89203215947043
6,65,0.01,Full,1,0,0,1.0,0.5789203215947043,1.4999999999999996,0.5789203215947045,69.77531026479453,57.89203215947043,0.0,38.59468810631363,157.89203215947043
7,65,0.02,Full,1,0,0,1.0,0.5789203215947043,1.4999999999999996,0.5789203215947045,69.77531026479453,57.89203215947043,0.0,38.59468810631363,157.89203215947043
8,65,0.03,Full,1,0,0,1.0,0.5789203215947043,1.4999999999999996,0.5789203215947045,69.77531026479453,57.89203215947043,0.0,38.59468810631363,157.89203215947043
9,65,0.05,Full,1,0,0,1.0,0.5789203215947043,1.4999999999999996,0.5789203215947045,69.77531026479453,57.89203215947043,0.0,38.59468810631363,157.89203215947043
10,65,0.07,Full,1,0,0,1.0,0.5789203215947043,1.4999999999999996,0.5789203215947045,69.77531026479453,57.89203215947043,0.0,38.59468810631363,157.89203215947043
11,60,0.01,Half,1,0,0,1.0,0.28946016079735215,1.4999999999999996,0.5789203215947045,69.77531026479453,28.946016079735216,0.0,19.297344053156817,128.94601607973522
12,60,0.02,Half,1,0,0,1.0,0.28946016079735215,1.4999999999999996,0.5789203215947045,69.77531026479453,28.946016079735216,0.0,19.297344053156817,128.94601607973522
13,60,0.03,Half,1,0,0,1.0,0.28946016079735215,1.4999999999999996,0.5789203215947045,69.77531026479453,28.946016079735216,0.0,19.297344053156817,128.94601607973522
14,60,0.05,Half,1,0,0,1.0,0.28946016079735215,1.4999999999999996,0.5789203215947045,69.77531026479453,28.946016079735216,0.0,19.297344053156817,128.94601607973522
15,60,0.07,Half,1,0,0,1.0,0.28946016079735215,1.4999999999999996,0.5789203215947045,69.77531026479453,28.946016079735216,0.0,19.297344053156817,128.94601607973522
16,65,0.01,Half,1,0,0,1.0,0.28946016079735215,1.4999999999999996,0.5789203215947045,69.77531026479453,28.946016079735216,0.0,19.297344053156817,128.94601607973522
17,65,0.02,Half,1,0,0,1.0,0.28946016079735215,1.4999999999999996,0.5789203215947045,69.77531026479453,28.946016079735216,0.0,19.297344053156817,128.94601607973522
18,65,0.03,Half,1,0,0,1.0,0.28946016079735215,1.4999999999999996,0.5789203215947045,69.77531026479453,28.946016079735216,0.0,19.297344053156817,128.94601607973522
19,65,0.05,Half,1,0,0,1.0,0.28946016079735215,1.4999999999999996,0.5789203215947045,69.77531026479453,28.946016079735216,0.0,19.297344053156817,128.94601607973522
20,65,0.07,Half,1,0,0,1.0,0.28946016079735215,1.4999999999999996,0.5789203215947045,69.77531026479453,28.946016079735216,0.0,19.297344053156817,128.94601607973522
21,60,0.01,Quarter,1,0,0,1.0,0.14473008039867608,1.4999999999999996,0.5789203215947045,69.77531026479453,14.473008039867608,0.0,9.648672026578408,114.47300803986761
22,60,0.02,Quarter,1,0,0,1.0,0.14473008039867608,1.4999999999999996,0.5789203215947045,69.77531026479453,14.473008039867608,0.0,9.648672026578408,114.47300803986761
23,60,0.03,Quarter,1,0,0,1.0,0.14473008039867608,1.4999999999999996,0.5789203215947045,69.77531026479453,14.473008039867608,0.0,9.648672026578408,114.47300803986761
24,60,0.05,Quarter,1,0,0,1.0,0.14473008039867608,1.4999999999999996,0.5789203215947045,69.77531026479453,14.473008039867608,0.0,9.648672026578408,114.47300803986761
25,60,0.07,Quarter,1,0,0,1.0,0.14473008039867608,1.4999999999999996,0.5789203215947045,69.77531026479453,14.473008039867608,0.0,9.648672026578408,114.47300803986761
26,65,0.01,Quarter,1,0,0,1.0,0.14473008039867608,1.4999999999999996,0.5789203215947045,69.77531026479453,14.473008039867608,0.0,9.648672026578408,114.47300803986761
27,65,0.02,Quarter,1,0,0,1.0,0.14473008039867608,1.4999999999999996,0.5789203215947045,69.77531026479453,14.473008039867608,0.0,9.648672026578408,114.47300803986761
28,65,0.03,Quarter,1,0,0,1.0,0.14473008039867608,1.4999999999999996,0.5789203215947045,69.77531026479453,14.473008039867608,0.0,9.648672026578408,114.47300803986761
29,65,0.05,Quarter,1,0,0,1.0,0.14473008039867608,1.4999999999999996,0.5789203215947045,69.77531026479453,14.473008039867608,0.0,9.648672026578408,114.47300803986761
30,65,0.07,Quarter,1,0,0,1.0,0.14473008039867608,1.4999999999999996,0.5789203215947045,69.77531026479453,14.473008039867608,0.0,9.648672026578408,114.47300803986761
31,70,0.01,Quarter,0,1,0,0.0,0.0,0.0,0.5789203215947045,69.77531026479453,0.0,0.0,0.0,100.0
32,70,0.01,Half,0,1,0,0.0,0.0,0.0,0.5789203215947045,69.77531026479453,0.0,0.0,0.0,100.0
33,70,0.01,Full,0,1,0,0.0,0.0,0.0,0.5789203215947045,69.77531026479453,0.0,0.0,0.0,100.0
34,70,0.02,Quarter,0,1,0,0.0,0.0,0.0,0.5789203215947045,69.77531026479453,0.0,0.0,0.0,100.0
35,70,0.02,Half,0,1,0,0.0,0.0,0.0,0.5789203215947045,69.77531026479453,0.0,0.0,0.0,100.0
36,70,0.02,Full,0,1,0,0.0,0.0,0.0,0.5789203215947045,69.77531026479453,0.0,0.0,0.0,100.0
