season,source_file_name,source_url,source_row_count,file_sha256,import_timestamp,db_row_count,team_names_match,dates_match,corners_match,synthetic_fixture_count,test_fixture_count
2023/24,serie_a_matches.csv,https://www.football-data.co.uk/mmz4281/2324/I1.csv,380,4e376e0aa4b9361c203ee9ef217992345853721b07db1497df22df07ead3e6de,2026-08-04 22:03:31,380,True,True,True,0,0
2024/25,serie_a_matches.csv,https://www.football-data.co.uk/mmz4281/2425/I1.csv,380,4e376e0aa4b9361c203ee9ef217992345853721b07db1497df22df07ead3e6de,2026-08-04 22:03:31,380,True,True,True,0,0
2025/26,serie_a_matches.csv,https://www.football-data.co.uk/mmz4281/2526/I1.csv,380,4e376e0aa4b9361c203ee9ef217992345853721b07db1497df22df07ead3e6de,2026-08-04 22:03:31,380,True,True,True,0,0
